,CASHPOINTID,OPERATIONDATE,AMT_SCALED
0,0,2020-01-01,0.03594674677632497
1,0,2020-01-02,0.045685487511593736
2,0,2020-01-03,0.1040563722472565
3,0,2020-01-04,0.061128758218216735
4,0,2020-01-05,0.09691544983707207
5,0,2020-01-06,0.08708642157707681
6,0,2020-01-07,0.052645834872325235
7,0,2020-01-08,0.06840921589388753
8,0,2020-01-09,0.1159661175543572
9,0,2020-01-10,0.13191828158216576
10,0,2020-01-11,0.03846658951187281
11,0,2020-01-12,0.17257639555785378
12,0,2020-01-13,0.09210558715618922
13,0,2020-01-14,0.0845829947551156
14,0,2020-01-15,0.09636962071031659
15,0,2020-01-16,0.22929337699966348
16,0,2020-01-17,0.0711301535708716
17,0,2020-01-18,0.07467599090558387
18,0,2020-01-19,0.06884423760393325
19,0,2020-01-20,0.09021365311533001
20,0,2020-01-21,0.07376901167992252
21,0,2020-01-22,0.10270616335475612
22,0,2020-01-23,0.12981294066468033
23,0,2020-01-24,0.07969515648469626
24,0,2020-01-25,0.12935739906265134
25,0,2020-01-26,0.12124793775085568
26,0,2020-01-27,0.10562409199477973
27,0,2020-01-28,0.06748582075463955
28,0,2020-01-29,0.09246673725509509
29,0,2020-01-30,0.10540863312895521
30,0,2020-01-31,0.14232597079608972
31,1,2020-01-01,0.029888935751441022
32,1,2020-01-02,0.048664417264164206
33,1,2020-01-03,0.21684240123717138
34,1,2020-01-04,0.15618585688176578
35,1,2020-01-05,0.16776325038661608
36,1,2020-01-06,0.10427386475467453
37,1,2020-01-07,0.059180373963166034
38,1,2020-01-08,0.1396527484886827
39,1,2020-01-09,0.14477013918177983
40,1,2020-01-10,0.17219176156333474
41,1,2020-01-11,0.17251511317306342
42,1,2020-01-12,0.0955152537607198
43,1,2020-01-13,0.12087726697595952
44,1,2020-01-14,0.0747574862927035
45,1,2020-01-15,0.1116828342471531
46,1,2020-01-16,0.16442429354702656
47,1,2020-01-17,0.13383241951356672
48,1,2020-01-18,0.169850977084212
49,1,2020-01-19,0.10976381273724167
50,1,2020-01-20,0.07324616898636299
51,1,2020-01-21,0.12039926894418669
52,1,2020-01-22,0.2686911289188809
53,1,2020-01-23,0.49273161816392524
54,1,2020-01-24,0.16566146492337971
55,1,2020-01-25,0.3435399971882469
56,1,2020-01-26,0.24929706171798113
57,1,2020-01-27,0.0863208210319134
58,1,2020-01-28,0.1573246168986363
59,1,2020-01-29,0.15934204976803035
60,1,2020-01-30,0.18208913257416
61,1,2020-01-31,0.15129340643891467
62,2,2020-01-01,0.005099359384099658
63,2,2020-01-02,0.008565219244044827
64,2,2020-01-03,0.024829192767148192
65,2,2020-01-04,0.017286686268660954
66,2,2020-01-05,0.01944574650928254
67,2,2020-01-06,0.017457138392920554
68,2,2020-01-07,0.015837843212454367
69,2,2020-01-08,0.016349199585233166
70,2,2020-01-09,0.0122299399156262
71,2,2020-01-10,0.021008224314995525
72,2,2020-01-11,0.028096191815457167
73,2,2020-01-12,0.024104771239044902
74,2,2020-01-13,0.016647490802687463
75,2,2020-01-14,0.010965753327367508
76,2,2020-01-15,0.012613457195210296
